trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
354,False,"{'a': 0.9, 'e': 7.979826997350698e-06}",30,0,46.79398023481885,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
355,False,"{'a': 0.9, 'e': 7.934933544931562e-06}",25,15,7.208167618310002,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
356,False,"{'a': 0.9, 'e': 7.89041787653074e-06}",25,19,12.81089760793339,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.9, 'e': 7.846275765208045e-06}",30,12,35.97745799960511,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.9, 'e': 7.802503042976187e-06}",20,0,25.280348945826617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
359,False,"{'a': 0.9, 'e': 7.759095599816886e-06}",20,0,32.324020492826975,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.9, 'e': 7.71604938271605e-06}",30,8,39.44529480522649,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.9, 'e': 7.673360394717659e-06}",25,0,38.49790042701652,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
362,False,"{'a': 0.9, 'e': 7.631024693995909e-06}",20,10,14.957679688883058,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.9, 'e': 7.5890383929452295e-06}",20,0,27.444377865642885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
364,False,"{'a': 0.9, 'e': 7.547397657287767e-06}",20,8,21.92248005232249,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.9, 'e': 7.5060987051979735e-06}",20,15,7.471649518430256,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.9, 'e': 7.465137806443907e-06}",20,2,28.345551502078322,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.9, 'e': 7.4245112815448925e-06}",25,13,24.20734027824243,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.9, 'e': 7.38421550094518e-06}",30,22,15.054902992887852,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.9, 'e': 7.344246884203259e-06}",25,10,28.290243044572435,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.9, 'e': 7.3046018991964936e-06}",20,0,31.94879633641922,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
371,False,"{'a': 0.9, 'e': 7.2652770613407345e-06}",25,11,27.192857963074964,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.9, 'e': 7.226268932824604e-06}",20,1,26.259138773441702,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.9, 'e': 7.187574121858132e-06}",20,15,9.956602112711074,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.9, 'e': 7.149189281935428e-06}",25,13,23.219888624426904,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.9, 'e': 7.111111111111111e-06}",30,16,23.531706090735774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.9, 'e': 7.0733363512901765e-06}",25,13,21.144268219852535,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.9, 'e': 7.035861787531046e-06}",25,11,24.518558838403713,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.9, 'e': 6.9986842473614964e-06}",25,1,31.213566015584433,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.9, 'e': 6.961800600107212e-06}",20,11,18.774559058800694,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.9, 'e': 6.925207756232687e-06}",25,9,27.145379101066613,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.9, 'e': 6.888902666694223e-06}",25,13,22.74975452855586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
